Year,Month,Value,Period
1969,December,37.7,M12
1969,December,37.7,M12
1969,December,37.7,M12
1969,December,37.7,M12
1969,December,37.7,M12
1969,November,37.5,M11
1969,November,37.5,M11
1969,November,37.5,M11
1969,November,37.5,M11
1969,November,37.5,M11
1969,October,37.3,M10
1969,October,37.3,M10
1969,October,37.3,M10
1969,October,37.3,M10
1969,October,37.3,M10
1969,September,37.1,M09
1969,September,37.1,M09
1969,September,37.1,M09
1969,September,37.1,M09
1969,September,37.1,M09
1969,August,37.0,M08
1969,August,37.0,M08
1969,August,37.0,M08
1969,August,37.0,M08
1969,August,37.0,M08
1969,July,36.8,M07
1969,July,36.8,M07
1969,July,36.8,M07
1969,July,36.8,M07
1969,July,36.8,M07
1969,June,36.6,M06
1969,June,36.6,M06
1969,June,36.6,M06
1969,June,36.6,M06
1969,June,36.6,M06
1969,May,36.4,M05
1969,May,36.4,M05
1969,May,36.4,M05
1969,May,36.4,M05
1969,May,36.4,M05
1969,April,36.3,M04
1969,April,36.3,M04
1969,April,36.3,M04
1969,April,36.3,M04
1969,April,36.3,M04
1969,March,36.1,M03
1969,March,36.1,M03
1969,March,36.1,M03
1969,March,36.1,M03
1969,March,36.1,M03
1969,February,35.8,M02
1969,February,35.8,M02
1969,February,35.8,M02
1969,February,35.8,M02
1969,February,35.8,M02
1969,January,35.6,M01
1969,January,35.6,M01
1969,January,35.6,M01
1969,January,35.6,M01
1969,January,35.6,M01
1968,December,35.5,M12
1968,December,35.5,M12
1968,December,35.5,M12
1968,December,35.5,M12
1968,December,35.5,M12
1968,November,35.4,M11
1968,November,35.4,M11
1968,November,35.4,M11
1968,November,35.4,M11
1968,November,35.4,M11
1968,October,35.3,M10
1968,October,35.3,M10
1968,October,35.3,M10
1968,October,35.3,M10
1968,October,35.3,M10
1968,September,35.1,M09
1968,September,35.1,M09
1968,September,35.1,M09
1968,September,35.1,M09
1968,September,35.1,M09
1968,August,35.0,M08
1968,August,35.0,M08
1968,August,35.0,M08
1968,August,35.0,M08
1968,August,35.0,M08
1968,July,34.9,M07
1968,July,34.9,M07
1968,July,34.9,M07
1968,July,34.9,M07
1968,July,34.9,M07
1968,June,34.7,M06
1968,June,34.7,M06
1968,June,34.7,M06
1968,June,34.7,M06
1968,June,34.7,M06
1968,May,34.5,M05
1968,May,34.5,M05
1968,May,34.5,M05
1968,May,34.5,M05
1968,May,34.5,M05
1968,April,34.4,M04
1968,April,34.4,M04
1968,April,34.4,M04
1968,April,34.4,M04
1968,April,34.4,M04
1968,March,34.3,M03
1968,March,34.3,M03
1968,March,34.3,M03
1968,March,34.3,M03
1968,March,34.3,M03
1968,February,34.2,M02
1968,February,34.2,M02
1968,February,34.2,M02
1968,February,34.2,M02
1968,February,34.2,M02
1968,January,34.1,M01
1968,January,34.1,M01
1968,January,34.1,M01
1968,January,34.1,M01
1968,January,34.1,M01
1967,December,33.9,M12
1967,December,33.9,M12
1967,December,33.9,M12
1967,December,33.9,M12
1967,December,33.9,M12
1967,November,33.8,M11
1967,November,33.8,M11
1967,November,33.8,M11
1967,November,33.8,M11
1967,November,33.8,M11
1967,October,33.7,M10
1967,October,33.7,M10
1967,October,33.7,M10
1967,October,33.7,M10
1967,October,33.7,M10
1967,September,33.6,M09
1967,September,33.6,M09
1967,September,33.6,M09
1967,September,33.6,M09
1967,September,33.6,M09
1967,August,33.5,M08
1967,August,33.5,M08
1967,August,33.5,M08
1967,August,33.5,M08
1967,August,33.5,M08
1967,July,33.4,M07
1967,July,33.4,M07
1967,July,33.4,M07
1967,July,33.4,M07
1967,July,33.4,M07
1967,June,33.3,M06
1967,June,33.3,M06
1967,June,33.3,M06
1967,June,33.3,M06
1967,June,33.3,M06
1967,May,33.2,M05
1967,May,33.2,M05
1967,May,33.2,M05
1967,May,33.2,M05
1967,May,33.2,M05
1967,April,33.1,M04
1967,April,33.1,M04
1967,April,33.1,M04
1967,April,33.1,M04
1967,April,33.1,M04
1967,March,33.0,M03
1967,March,33.0,M03
1967,March,33.0,M03
1967,March,33.0,M03
1967,March,33.0,M03
1967,February,32.9,M02
1967,February,32.9,M02
1967,February,32.9,M02
1967,February,32.9,M02
1967,February,32.9,M02
1967,January,32.9,M01
1967,January,32.9,M01
1967,January,32.9,M01
1967,January,32.9,M01
1967,January,32.9,M01
1966,December,32.9,M12
1966,December,32.9,M12
1966,December,32.9,M12
1966,December,32.9,M12
1966,December,32.9,M12
1966,November,32.9,M11
1966,November,32.9,M11
1966,November,32.9,M11
1966,November,32.9,M11
1966,November,32.9,M11
1966,October,32.9,M10
1966,October,32.9,M10
1966,October,32.9,M10
1966,October,32.9,M10
1966,October,32.9,M10
1966,September,32.7,M09
1966,September,32.7,M09
1966,September,32.7,M09
1966,September,32.7,M09
1966,September,32.7,M09
1966,August,32.7,M08
