DATE,PET EXPENDITURES IN BILLIONS
1960,0.838
1961,0.906
1962,0.96
1963,1.045
1964,1.318
1965,1.507
1966,1.724
1967,1.846
1968,2.132
1969,2.361
1970,2.711
1971,2.956
1972,3.13
1973,3.737
1974,4.366
1975,4.772
1976,5.506
1977,6.132
1978,6.491
1979,7.2
1980,8.393
1981,9.693
1982,10.309
1983,11.334
1984,12.158
1985,13.484
1986,13.681
1987,14.788
1988,15.96
1989,17.242
1990,18.813
1991,19.623
1992,20.595
1993,22.482
1994,24.935
1995,27.333
1996,30.025
1997,32.489
1998,34.532
1999,37.025
2000,39.65
2001,41.851
2002,44.639
2003,47.925
2004,52.322
2005,57.193
2006,62.559
2007,68.865
2008,72.979
2009,73.714
2010,76.241
2011,80.015
2012,84.347
2013,88.133
2014,93.216
2015,98.365
2016,104.462
2017,110.522
