,With children ages 6 to 17,With children under age 6
1975,54.9,39
1976,56.2,40.1
1977,58.3,41.2
1978,60,44
1979,61.6,45.7
1980,64.3,46.8
1981,65.5,48.9
1982,65.8,49.9
1983,66.3,50.5
1984,68.1,52.1
1985,69.9,53.5
1986,70.4,54.4
1987,72,56.7
1988,73.3,56.1
1989,74.2,56.7
1990,74.7,58.2
1991,74.4,58.4
1992,75.9,58
1993,75.4,57.9
1994,76,60.3
1995,76.4,62.3
1996,77.2,62.3
1997,78.1,65
1998,78.4,65.2
1999,78.5,64.4
2000,79,65.3
2001,79.4,64.4
2002,78.6,64.1
2003,78.7,62.9
2004,77.5,62.2
2005,76.9,62.6
2006,76.9,63
2007,77.7,63.5
2008,77.5,63.6
